country,time_block,stringency_lag,vac_lag,log_vac_lag
Afghanistan,2020_fall,-1.5710911213783145,-0.6024325334252024,-0.7302492497009011
Afghanistan,2020_spring,0.4309313901664558,-0.6024325334252024,-0.7302492497009011
Afghanistan,2020_summer,1.4874292123271562,-0.6024325334252024,-0.7302492497009011
Afghanistan,2020_winter,-2.435005537507481,-0.6024325334252024,-0.7302492497009011
Afghanistan,2021_fall,-1.1640504839705605,0.028679095423667825,0.22243280788122347
Afghanistan,2021_spring,-1.3517055347310616,-0.5002082883271072,-0.5233607847870011
Afghanistan,2021_summer,-0.1582023435070223,-0.5283413447226859,-0.5817605205783521
Afghanistan,2021_winter,-1.8068278807473828,-0.47359681706690504,-0.49138083298569085
Afghanistan,2022_spring,-1.7761029601483427,-0.4413533393279719,-0.4085550196920102
Afghanistan,2022_winter,-1.6275076960463801,-0.3312914260116699,-0.20439139513401297
Albania,2020_fall,0.3185872316090891,-0.6024325334252024,-0.7302492497009011
Albania,2020_spring,0.9277813701222458,-0.6024325334252024,-0.7302492497009011
Albania,2020_summer,0.9434345456796515,-0.6024325334252024,-0.7302492497009011
Albania,2020_winter,-1.3842195193862628,-0.6024325334252024,-0.7302492497009011
Albania,2021_fall,-0.4412749813152112,0.4404354580517005,0.85818965634923
Albania,2021_spring,0.4669694214158873,0.8267712816083762,1.2322320500206039
Albania,2021_summer,-0.5690901011380685,0.39770276393400855,0.7956662103261066
Albania,2021_winter,0.33010502645830214,-0.39960938883895497,-0.3739487193715712
Albania,2022_spring,-0.8210455456240924,-0.45517888208664686,-0.4330067032995501
Albania,2022_winter,-0.17331392600739692,0.20087343165807578,0.5505138059906822
Argentina,2020_fall,1.8619776328588606,-0.6024325334252024,-0.7302492497009011
Argentina,2020_spring,1.0467946559273416,-0.6024325334252024,-0.7302492497009011
Argentina,2020_summer,2.1565373457857553,-0.6024325334252024,-0.7302492497009011
Argentina,2020_winter,-0.925159475211491,-0.6024325334252024,-0.7302492497009011
Argentina,2021_fall,0.25038774660934726,1.3735560370796962,1.6569366530597929
Argentina,2021_spring,1.3739627315606968,0.9908831499534824,1.3759031017957457
Argentina,2021_summer,1.418038811747463,3.4337256333332133,3.029484275041303
Argentina,2021_winter,0.8395170616914509,-0.18576133238521594,-0.040016673084661225
Argentina,2022_spring,-1.5526271372370455,-0.4691320794686704,-0.46700997270769745
Argentina,2022_winter,-1.078424729196399,0.20524745967389774,0.5967524306381394
Australia,2020_fall,1.054164866339804,-0.6024325334252024,-0.7302492497009011
Australia,2020_spring,0.1572320575271154,-0.6024325334252024,-0.7302492497009011
Australia,2020_summer,0.8692034730447695,-0.6024325334252024,-0.7302492497009011
Australia,2020_winter,-1.1753824301886335,-0.6024325334252024,-0.7302492497009011
Australia,2021_fall,1.0547775776770518,3.0215663113172777,2.8005107234160342
Australia,2021_spring,-0.05298179588160599,0.3249110975160517,0.6267197291080625
Australia,2021_summer,0.8851684749077389,2.0043616554109893,2.283673809533898
Australia,2021_winter,0.830537011154922,-0.3247366578559101,-0.2783291297672666
Australia,2022_spring,-0.5609814950114868,-0.46540274517244434,-0.4605815865761031
Australia,2022_winter,-0.10114163640749187,0.3080139533291405,0.6428061142140331
Austria,2020_fall,0.11781233101249254,-0.6024325334252024,-0.7302492497009011
Austria,2020_spring,0.3888722917375372,-0.6024325334252024,-0.7302492497009011
Austria,2020_summer,-0.2723379252530299,-0.6024325334252024,-0.7302492497009011
Austria,2020_winter,-1.179149212386937,-0.6024325334252024,-0.7302492497009011
Austria,2021_fall,0.025016020695376555,0.1772577427299883,0.5430110086130794
Austria,2021_spring,1.3456412441238346,2.2031926226703336,2.2866331693703823
Austria,2021_summer,0.20913577753814871,1.9770702060900127,2.082541978218949
Austria,2021_winter,1.1402753569528876,0.1208078810238825,0.38879230324666686
Austria,2022_spring,-0.5470869889574548,-0.5688042794087459,-0.6593150165165828
Austria,2022_winter,0.10724829729401497,-0.1843296585160017,0.024313889122270928
Azerbaijan,2020_fall,1.1438799456051867,-0.6024325334252024,-0.7302492497009011
Azerbaijan,2020_spring,0.778474221854411,-0.6024325334252024,-0.7302492497009011
Azerbaijan,2020_summer,2.058990418513843,-0.6024325334252024,-0.7302492497009011
Azerbaijan,2020_winter,-1.1707801325304472,-0.6024325334252024,-0.7302492497009011
Azerbaijan,2021_fall,0.603769010366648,0.9876218059943059,1.1747565665615878
Azerbaijan,2021_spring,1.149721323402115,0.2366347290225785,0.5988633677514756
Azerbaijan,2021_summer,0.6183798191779261,1.5696807627660236,1.9137024044932258
Azerbaijan,2021_winter,1.1334589433260136,-0.4231075947250774,-0.3841839461536623
Azerbaijan,2022_spring,0.35030535335816965,-0.5214960888535309,-0.5645563244546817
Azerbaijan,2022_winter,0.6394817023696993,-0.40153168854679216,-0.3302037639372619
Bahamas,2020_fall,1.271789328710698,-0.6024325334252024,-0.7302492497009011
Bahamas,2020_spring,1.053440217354406,-0.6024325334252024,-0.7302492497009011
Bahamas,2020_summer,1.5502157124841702,-0.6024325334252024,-0.7302492497009011
Bahamas,2020_winter,-1.1102191869466314,-0.6024325334252024,-0.7302492497009011
Bahamas,2021_fall,0.2906263853920214,1.3910964837010522,1.573498258345534
Bahamas,2021_spring,1.0117573304196497,0.30166362645582706,0.5538499573600744
Bahamas,2021_summer,0.617690518923523,0.018385572078628516,0.28636019335278173
Bahamas,2021_winter,0.7703891815484925,-0.40189415255420036,-0.3802272870987624
Bahamas,2022_spring,-0.66982711110954,-0.48220574792627124,-0.4858498359451815
Bahamas,2022_winter,0.27668000180222346,-0.3248736888605401,-0.19642160300500855
Bahrain,2020_fall,0.4949125932674571,-0.6024325334252024,-0.7302492497009011
Bahrain,2020_spring,0.5356755715598911,-0.6024325334252024,-0.7302492497009011
Bahrain,2020_summer,1.1920257588568681,-0.6024325334252024,-0.7302492497009011
Bahrain,2020_winter,-1.4029002525434686,-0.6024325334252024,-0.7302492497009011
Bahrain,2021_fall,-1.302417199995434,-0.22981499625845914,-0.047311751217782916
Bahrain,2021_spring,0.3005690576208252,3.194212550443836,2.8749778977648175
Bahrain,2021_summer,0.19569736830487208,1.2681792776435057,1.4540054610326696
Bahrain,2021_winter,-0.34152871772079485,0.5777819412987314,0.8015656183875025
Bahrain,2022_spring,-2.0740976719824054,-0.5546622712789953,-0.6301179697215131
Bahrain,2022_winter,-0.9754636948998239,-0.27867115323878017,-0.12562085422771538
Bangladesh,2020_fall,1.6240747818071528,-0.6024325334252024,-0.7302492497009011
Bangladesh,2020_spring,0.813328070615509,-0.6024325334252024,-0.7302492497009011
Bangladesh,2020_summer,1.4712142444378649,-0.6024325334252024,-0.7302492497009011
Bangladesh,2020_winter,-0.866582878844896,-0.6024325334252024,-0.7302492497009011
Bangladesh,2021_fall,-0.489243209275465,1.4058060287457101,1.6217122263873258
Bangladesh,2021_spring,1.7386299193246129,-0.294554374483249,-0.17997233234890023
Bangladesh,2021_summer,1.2535670578827602,-0.06542152164441994,-0.07985105052474205
Bangladesh,2021_winter,0.7950891073312688,0.3945700303997411,0.36205984317620105
Bangladesh,2022_spring,-1.863605797998953,1.207772963424831,0.84433321708004
Bangladesh,2022_winter,-0.014408942668282656,2.1602719783165454,2.230246417981981
Barbados,2020_fall,-0.7047585306969881,-0.6024325334252024,-0.7302492497009011
