country,date,R_mean,R_low,R_high,P_R_gt_1
Afghanistan,2020-01-20,0.9933331298375407,0.7712057332462087,1.249331134987342,0.443
Afghanistan,2020-01-27,1.0108640970851757,0.7679396101376613,1.284044341111115,0.503
Afghanistan,2020-02-03,1.0095121976512387,0.7656824882443287,1.291969494055476,0.492
Afghanistan,2020-02-10,1.0249594005530511,0.7805104694612944,1.3025438667864295,0.517
Afghanistan,2020-02-17,1.02283142476566,0.7806506002777032,1.3230790494968026,0.518
Afghanistan,2020-02-24,1.028559656002742,0.7905881950999346,1.3210519370703493,0.54
Afghanistan,2020-03-02,1.1677757747419535,0.8802347198758093,1.4986152015556742,0.804
Afghanistan,2020-03-09,1.1886916546731803,0.9054364492998906,1.524822628269869,0.851
Afghanistan,2020-03-16,1.2360980766484069,0.9510316215448479,1.587511145251354,0.887
Afghanistan,2020-03-23,1.3089249409120056,1.0022932787566987,1.6603124379819976,0.952
Afghanistan,2020-03-30,1.3789364465491971,1.0841322802721967,1.7640365407042022,0.985
Afghanistan,2020-04-06,1.4276362310430855,1.089171988436328,1.8234637361254176,0.983
Afghanistan,2020-04-13,1.4207066280839915,1.0852527941191032,1.8214091404462793,0.984
Afghanistan,2020-04-20,1.430471456312285,1.0984223990883424,1.8154098299498198,0.987
Afghanistan,2020-04-27,1.408626694459968,1.0738428534630264,1.7942762294909869,0.985
Afghanistan,2020-05-04,1.4267096322562411,1.0911516587550394,1.8211950247466264,0.986
Afghanistan,2020-05-11,1.4112228557597801,1.0906815851449032,1.7865011149708436,0.987
Afghanistan,2020-05-18,1.3535000630763034,1.0310315587554746,1.6950436628531296,0.96
Afghanistan,2020-05-25,1.2707164722267208,0.9696100333443488,1.6371146132746974,0.914
Afghanistan,2020-06-01,1.2559839680841374,0.9559522034612179,1.61146953301037,0.919
Afghanistan,2020-06-08,1.1458323847402718,0.8703458472416875,1.453480699709505,0.794
Afghanistan,2020-06-15,1.0473258107779229,0.7896875126809629,1.3316439516529708,0.609
Afghanistan,2020-06-22,0.96321939444497,0.7325043071462367,1.218895120955193,0.38
Afghanistan,2020-06-29,0.9005706658816411,0.68358673670805,1.146468259412242,0.226
Afghanistan,2020-07-06,0.8712276939437128,0.6598882565053393,1.130856308941338,0.171
Afghanistan,2020-07-13,0.8491656670256887,0.6408440402430217,1.0844862586181772,0.131
Afghanistan,2020-07-20,0.8385309704109168,0.6383810760998239,1.071007837736487,0.122
Afghanistan,2020-07-27,0.8267853145133675,0.6313784536757278,1.0580533641247543,0.098
Afghanistan,2020-08-03,0.838470893513449,0.6380894659804628,1.0741095514612766,0.117
Afghanistan,2020-08-10,0.8519794737065103,0.6501579610264616,1.085496480951604,0.15
Afghanistan,2020-08-17,0.9022227439369664,0.6900246890962047,1.1566124562327396,0.25
Afghanistan,2020-08-24,0.9157418145973631,0.7010742600650431,1.1626756867974255,0.265
Afghanistan,2020-08-31,0.9525146371536417,0.7322045535977664,1.2311698942970544,0.349
Afghanistan,2020-09-07,0.8634303509783795,0.6637132830709753,1.114787437960951,0.154
Afghanistan,2020-09-14,0.9587423451135618,0.7290618709459857,1.222788847192259,0.371
Afghanistan,2020-09-21,0.9808516676405025,0.7547908204336924,1.2635253657054855,0.41
Afghanistan,2020-09-28,0.9920161528224792,0.7605650549933757,1.279955964139214,0.444
Afghanistan,2020-10-05,1.0262224035454104,0.7851701985357518,1.3038088626762883,0.537
Afghanistan,2020-10-12,1.1200985645985875,0.8589367038290916,1.4502767906066611,0.733
Afghanistan,2020-10-19,1.1450170326036875,0.8568774457370434,1.47685113118323,0.763
Afghanistan,2020-10-26,1.1637716360630566,0.8824675141653254,1.4658753491361673,0.803
Afghanistan,2020-11-02,1.153703822104649,0.8666435211091638,1.4802898100064197,0.806
Afghanistan,2020-11-09,1.1501735313209538,0.8694624733481486,1.4674016930725313,0.786
Afghanistan,2020-11-16,1.1637306936780862,0.8938939920268268,1.484820500785577,0.803
Afghanistan,2020-11-23,1.1597978360509553,0.8849004530911748,1.4787037256486277,0.804
Afghanistan,2020-11-30,1.1245768789794859,0.8550564355147157,1.4249738094120117,0.757
Afghanistan,2020-12-07,1.0339602106646546,0.7839833361136754,1.350131058367387,0.545
Afghanistan,2020-12-14,0.9938461874939459,0.7622213291499828,1.2781064746224402,0.444
Afghanistan,2020-12-21,0.9600449943177619,0.7233028928127682,1.2213683977404295,0.368
Afghanistan,2020-12-28,0.9352764252441336,0.717699825707729,1.2019668448255774,0.3
Afghanistan,2021-01-04,0.8949305891495868,0.6790513496860404,1.1372358586211673,0.219
Afghanistan,2021-01-11,0.8707613798544426,0.6606558283079904,1.1006602079496137,0.172
Afghanistan,2021-01-18,0.8717581213710319,0.6570985449498306,1.1182531215622404,0.175
Afghanistan,2021-01-25,0.8633653546486552,0.6564918780188008,1.0958142231592207,0.152
Afghanistan,2021-02-01,0.8607066314336251,0.6572845787439966,1.1030513084535636,0.148
Afghanistan,2021-02-08,0.847211465115229,0.6408366334141588,1.0906875234999749,0.134
Afghanistan,2021-02-15,0.8497716503886349,0.6484060938890163,1.0965342650230898,0.144
Afghanistan,2021-02-22,0.8867478880709014,0.6883391181886224,1.1364315600435668,0.201
Afghanistan,2021-03-01,0.9538059520303361,0.7248015231423914,1.2139084295697906,0.352
Afghanistan,2021-03-08,1.0033770058699267,0.7597021402005322,1.3003675886244008,0.499
Afghanistan,2021-03-15,1.0552861727315006,0.8059441036618809,1.3711951992116516,0.602
Afghanistan,2021-03-22,1.109151517759321,0.8366252351176264,1.4359237995607859,0.711
Afghanistan,2021-03-29,1.201498789729009,0.9201441334779217,1.531699861599323,0.853
Afghanistan,2021-04-05,1.2533142828867792,0.9566123510066574,1.617648890532182,0.913
Afghanistan,2021-04-12,1.2808310639084124,0.9583036628383722,1.6586287028463795,0.917
Afghanistan,2021-04-19,1.3037117754498122,0.9821181858618084,1.6712900029284834,0.937
Afghanistan,2021-04-26,1.2985167222865346,0.9915969196388246,1.6659511700819503,0.942
Afghanistan,2021-05-03,1.312042986382645,0.9974142882184124,1.67637699519814,0.948
Afghanistan,2021-05-10,1.2857978759449442,0.9746355996347474,1.63764728386394,0.938
Afghanistan,2021-05-17,1.2735548393517517,0.9722073463110166,1.624244669723181,0.927
Afghanistan,2021-05-24,1.286853408420674,0.9818905386665272,1.6442641618452156,0.941
Afghanistan,2021-05-31,1.3148744750381944,0.9976765384084844,1.6679017030689323,0.949
Afghanistan,2021-06-07,1.3345922612090995,1.022863514481739,1.7205696054936463,0.968
Afghanistan,2021-06-14,1.2520823696861558,0.9711208741697641,1.5866352628617184,0.925
Afghanistan,2021-06-21,1.1491730122678894,0.8816387901625109,1.4426720809202471,0.788
Afghanistan,2021-06-28,1.0675785282580703,0.8281023386352029,1.3588824701619022,0.616
Afghanistan,2021-07-05,0.9871606612442143,0.7567495813431444,1.263583782716196,0.446
Afghanistan,2021-07-12,0.9161884803774805,0.7012292859631009,1.184646127551863,0.27
Afghanistan,2021-07-19,0.8653239614844062,0.6564331254833483,1.098055423642051,0.162
Afghanistan,2021-07-26,0.822115978703759,0.6237169328725766,1.0535664215935339,0.099
Afghanistan,2021-08-02,0.805208838949384,0.6111903685015042,1.0425669860430313,0.081
Afghanistan,2021-08-09,0.7925879730674112,0.5942647497279904,1.0129005977616754,0.062
Afghanistan,2021-08-16,0.7593955049401198,0.571685651195455,0.9851276733460855,0.04
Afghanistan,2021-08-23,0.753923657301587,0.5731823912840676,0.9770417022996697,0.035
Afghanistan,2021-08-30,0.7961545502331053,0.6014502601917877,1.033401241293621,0.072
Afghanistan,2021-09-06,0.7909644442673693,0.5964999700445119,1.0343408040242792,0.069
Afghanistan,2021-09-13,0.8397140485009374,0.6330697707394546,1.0906366685408448,0.118
Afghanistan,2021-09-20,0.8540094085078909,0.6483859461903441,1.0857119826218913,0.146
Afghanistan,2021-09-27,0.8647323245021814,0.6644288331523988,1.1195726017431789,0.149
Afghanistan,2021-10-04,0.8659746468587759,0.663560356218454,1.1145581172237717,0.176
Afghanistan,2021-10-11,0.9068894804345055,0.6902309155055275,1.1493062697453142,0.244
Afghanistan,2021-10-18,0.9436569615567482,0.7075789468219684,1.2308900413745245,0.324
Afghanistan,2021-10-25,0.9568383404102265,0.7194974832380445,1.2335715063290755,0.359
Afghanistan,2021-11-01,0.9826678852299175,0.7524383133651976,1.2662394278864781,0.428
Afghanistan,2021-11-08,0.9924135957934351,0.7338275310942642,1.2706783463170315,0.45
Afghanistan,2021-11-15,1.0077007171965575,0.7601181292606028,1.2914375769908046,0.477
Afghanistan,2021-11-22,1.0336140780167915,0.7907225780546988,1.3077447816425254,0.555
