country,date,log_cases,continent,pc1,pc2,time_block
Afghanistan,2020-01-13,0.0,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-01-20,0.0,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-01-27,0.0,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-02-03,0.0,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-02-10,0.0,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-02-17,0.0,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-02-24,0.0,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-03-02,0.020902903339060534,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-03-09,0.013983702890960953,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-03-16,0.11932619370863014,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-03-23,0.3171228072867502,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-03-30,0.8108286448359087,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-04-06,1.4976559925085178,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-04-13,1.91199154649535,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-04-20,2.2240797712702145,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-04-27,2.396447871272522,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-05-04,3.013702669417276,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-05-11,3.4773724318895765,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-05-18,3.9610361561627974,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-05-25,4.354992331276957,Asia,-2.016303326294932,-0.23335565058185978,2020_spring
Afghanistan,2020-06-01,4.743310762485777,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-06-08,4.814804529472341,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-06-15,4.773334119925258,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
